old_url,new_url
https://nybenchmark.org/,https://benchmarkusa.org/blog/
https://nybenchmark.org/about/,https://benchmarkusa.org/blog/about/
https://nybenchmark.org/data/,https://benchmarkusa.org/blog/data/
https://nybenchmark.org/mcp/,https://benchmarkusa.org/blog/mcp/
https://nybenchmark.org/methods/,https://benchmarkusa.org/blog/methods/
https://nybenchmark.org/roadmap/,https://benchmarkusa.org/blog/roadmap/
https://nybenchmark.org/for-llms,https://benchmarkusa.org/blog/for-llms/
https://nybenchmark.org/2025/12/12/same-new-york-but-better.html,https://benchmarkusa.org/blog/2025/12/12/same-new-york-but-better.html
https://nybenchmark.org/2026/01/29/audit-time.html,https://benchmarkusa.org/blog/2026/01/29/audit-time.html
https://nybenchmark.org/2026/01/31/annual-financial-report-non-filers.html,https://benchmarkusa.org/blog/2026/01/31/annual-financial-report-non-filers.html
https://nybenchmark.org/2026/02/02/state-local-government-financial-data.html,https://benchmarkusa.org/blog/2026/02/02/state-local-government-financial-data.html
https://nybenchmark.org/2026/02/19/nyc-financial-data.html,https://benchmarkusa.org/blog/nyc-financial-data/
https://nybenchmark.org/2026/03/04/stress-trajectories.html,https://benchmarkusa.org/blog/stress-trajectories/
https://nybenchmark.org/2026/03/05/fiscal-turnaround-stories.html,https://benchmarkusa.org/blog/fiscal-turnarounds/
